Date,Confirmed,Recovered,Deceased,Other,Tested,Infected,Delta_C,Delta_D,Delta_R,beta,gamma,delta,r0,R0
2020-04-22,21373,4370,682,3,500542.0,16321,1667.0,40.0,642.0,0.10213834936584767,0.03933582501072238,0.002450830218736597,0.060351694136388696,2.4442815249266863
2020-04-23,23040,5012,722,3,541789.0,17306,1408.0,59.0,484.0,0.08135906621980817,0.027967179013059056,0.0034092222350629838,0.049982664971686123,2.593001841620626
2020-04-24,24448,5496,781,3,579957.0,18171,1835.0,44.0,442.0,0.10098508612624511,0.024324473061471577,0.0024214407572505643,0.07423917230752297,3.7757201646090532
2020-04-25,26283,5938,825,3,625309.0,19520,1607.0,56.0,585.0,0.08232581967213115,0.029969262295081966,0.0028688524590163933,0.04948770491803279,2.5070202808112323
2020-04-26,27890,6523,881,3,665819.0,20486,1568.0,58.0,580.0,0.07654007614956555,0.02831201796348726,0.002831201796348726,0.04539685638972957,2.457680250783699
2020-04-27,29458,7103,939,4,716733.0,21416,1902.0,69.0,636.0,0.08881210310048562,0.029697422487859546,0.0032218901755696676,0.05589279043705641,2.697872340425532
2020-04-28,31360,7739,1008,4,770764.0,22613,1705.0,71.0,690.0,0.07539910670853049,0.030513421483217618,0.0031397868482731174,0.04174589837703976,2.240473061760841
2020-04-29,33065,8429,1079,4,830201.0,23557,1802.0,75.0,630.0,0.07649530924990448,0.02674364307849047,0.0031837670331536275,0.046567899138260385,2.556028368794326
2020-04-30,34867,9059,1154,4,902654.0,24654,2396.0,77.0,962.0,0.09718504096698305,0.0390200373164598,0.0031232254400908573,0.055041778210432386,2.306063522617902
2020-05-01,37263,10021,1231,4,976363.0,26011,2564.0,92.0,831.0,0.098573680365999,0.03194802199069625,0.0035369651301372495,0.0630886932451655,2.777898158179848
2020-05-02,39827,10852,1323,4,1046450.0,27652,2952.0,140.0,911.0,0.10675538839866917,0.03294517575582236,0.005062924924056126,0.06874728771879068,2.8087535680304474
2020-05-03,42779,11763,1463,4,1107233.0,29553,3656.0,103.0,1082.0,0.12370994484485501,0.03661218827191825,0.0034852637634081142,0.08361249280952865,3.0852320675105482
2020-05-04,46435,12845,1566,4,1191946.0,32024,2971.0,128.0,1295.0,0.09277416937297027,0.040438421184111915,0.003997002248313765,0.04833874594054459,2.0878425860857344
