beta,gamma,delta,r0
0.08704653504626918,0.041189776383880154,0.002496769679661167,0.04335998898272785
0.08782345459861536,0.04160368489470928,0.002452998938722182,0.0437667707651839
0.08873390133090885,0.04198339030740233,0.002406580212342641,0.04434393081116388
0.0896323589680966,0.042329867149984796,0.002360312412596264,0.04494217940551554
0.09040814506992617,0.04264753005307787,0.0023187353146309478,0.04544187970221735
0.09101225472043645,0.04294089488380097,0.0022829167279521593,0.045788443108683324
0.0913934721463695,0.04321181463233709,0.0022528374335919984,0.04592882008044041
0.09161002965317565,0.0434586397485266,0.002230369441465963,0.04592102046318309
0.09172151969174222,0.04368171926694814,0.0022163630344542527,0.045823437390339825
0.0916895484555009,0.04387981189052828,0.0022082335312152432,0.04560150303375737
0.0915124632055127,0.04405245320434066,0.00220498538990761,0.04525502461126443
0.09124745926678898,0.044200729037132756,0.002208209582677228,0.044838520646979
0.09091642330857579,0.044327206525046306,0.0022194675796916204,0.04436974920383786
0.0905295040886259,0.0444350037719835,0.0022388439095550384,0.043855656407087364
0.09017787643021763,0.04453023966932598,0.0022649681578927098,0.04338266860299894
0.0899067507825117,0.04462003716527853,0.0022945564180319187,0.042992157199201256
0.08970246055807739,0.044716910900434385,0.0023247019901058586,0.042660847667537145
0.08949505982740452,0.04483555401486461,0.002351916081916051,0.04230758973062386
0.08917518139607142,0.044985005978229936,0.0023751940918334134,0.04181498132600807
0.08865712835336555,0.04517577733583241,0.0023969060137237425,0.04108444500380939
0.0879171020452347,0.045421288154981504,0.002419224646079732,0.04007658924417347
0.08701879366721106,0.045730766429331146,0.002440636388662031,0.038847390849217886
0.0859918249689897,0.046112640553743166,0.0024573997931284053,0.03742178462211813
0.08482781239927374,0.046570024817649235,0.0024684887881890683,0.03578929879343543
0.08358603451081116,0.04709813332339863,0.0024746996440301373,0.0340132015433824
0.08238561989266165,0.0476900515513001,0.002473902828935397,0.032221665512426154
0.0813474154570242,0.048335196931491714,0.0024643499917932103,0.03054786853373928
0.08059664653149509,0.04902249939761819,0.0024476206260815874,0.029126526507795313
0.08026908420998637,0.04973854779514373,0.0024285051348580653,0.02810203127998457
0.08036366878377275,0.050470520546084495,0.0024117958226814113,0.027481352415006842
0.0807447064853958,0.05120924203931913,0.0023965682322855454,0.027138896213791133
0.0813093245507361,0.05194833468382514,0.0023819359090304533,0.026979053957880507
0.08201710318526068,0.05268169512965254,0.002367052834496032,0.0269683552211121
0.08284408597185028,0.053406146597021316,0.002348850757349181,0.02708908861747978
0.08379567797294366,0.054121175976518845,0.002324595686263392,0.027349906310161418
0.08497507360045059,0.054828743437630716,0.002295998193490904,0.027850331969328977
0.08639643852599098,0.055531177934541334,0.002268029739888493,0.028597230851561156
0.08790297706378292,0.056231845541477574,0.002243564410614387,0.02942756711169095
0.08927205467189597,0.05693604671686071,0.002221927280662075,0.03011408067437319
0.09032208963386441,0.0576447037087099,0.0022002100968505803,0.030477175828303935
0.09102186837862668,0.05835250648423231,0.0021787171966844254,0.030490644697709936
0.09150700539890097,0.05904827266305377,0.0021572602065962326,0.030301472529250965
0.09196781733743514,0.05971973703090883,0.0021319217340330793,0.03011615857249323
0.09251103517566024,0.060355512518515654,0.0020992365434931355,0.030056286113651458
0.09309323319585787,0.06095112295570206,0.0020608744193910166,0.030081235820764794
0.09360769156782814,0.061503691035711516,0.002021859660356899,0.030082140871759727
0.0939571462365211,0.06201011042116892,0.0019863368569661526,0.029960698958386024
0.09408933263311568,0.062465863745988476,0.0019557802250166826,0.02966768866211053
0.09407692846115434,0.06286795184837615,0.0019300125391815545,0.029278964073596633
0.09408266908849294,0.06321615455716083,0.0019093875824588347,0.028957126948873285
0.09423741082926733,0.06351784605903422,0.0018919828508235303,0.028827581919409567
0.09456439341968377,0.06378844855241636,0.0018757258627756313,0.028900219004491773
0.0950111577713661,0.06404477206100313,0.0018602509997066126,0.029106134710656345
0.09551564215560916,0.06430965813752257,0.0018471555659125684,0.029358828452174024
0.09601211513837682,0.06459836152983621,0.001838598232925663,0.029575155375614948
0.09646077433202212,0.06491515829818668,0.0018365624257112487,0.02970905360812419
0.09691359478886363,0.06526183437765211,0.0018390079412012642,0.029812752470010265
0.09746311210531565,0.0656346373497837,0.001841336408241705,0.02998713834729025
0.09811558525821028,0.06602663443227542,0.0018394542636385731,0.03024949656229628
0.09881604482836913,0.06642614301171304,0.0018327124459443284,0.030557189370711765
0.09953796745294224,0.06682554850598867,0.0018223326825884303,0.030890086264365152
0.10028332437908097,0.0672156286297234,0.0018101041440896483,0.03125759160526792
0.10107110614859124,0.067591273190903,0.0017978417059211084,0.03168199125176714
0.10192669660661659,0.06795663822119659,0.0017849747546970682,0.032185083630722935
0.10280195794451594,0.06831532217513607,0.0017693054960152316,0.03271733027336464
0.10357291639246034,0.06867715372485235,0.0017486888639690434,0.033147073803638946
0.10414837165448353,0.0690532250361055,0.001723793507834652,0.03337135311054337
0.10448604444048233,0.06945695765051489,0.0016954025395984839,0.03333368425036895
0.10461844592468234,0.06990024514970375,0.0016643746179525523,0.03305382615702604
0.10461546864009244,0.07038730325494597,0.0016331026132442833,0.03259506277190219
0.10452857879709379,0.0709227020668948,0.0016046990854592348,0.03200117764473975
0.10434914481294309,0.07151097938899181,0.0015803850569449142,0.03125778036700637
0.10399101660697437,0.07215240153068002,0.001559330060503702,0.03027928501579065
0.103346767650737,0.0728422715459826,0.0015392819270548623,0.028965214177699525
0.10242548607109928,0.07356722182822382,0.0015192040375480624,0.027339060205327392
0.10135184024799176,0.07430925871847188,0.0015012129632171643,0.025541368566302722
0.10029031620335778,0.07505135762190226,0.0014868792671435794,0.023752079314311933
0.0994411538501377,0.07578131161895366,0.0014772020018355234,0.022182640229348516
0.09888136013408062,0.07649292603058386,0.0014721747095374795,0.02091625939395929
0.09848867126118699,0.07718771805230885,0.0014707220565177348,0.019830231152360406
0.09814978992136876,0.07786805048774967,0.0014701236394749706,0.018811615794144115
0.09783282410400525,0.07853137823825067,0.0014687110202544543,0.01783273484550013
0.0975349378403215,0.07917479282023429,0.0014670449257678238,0.01689310009431938
0.09730335205712394,0.0798006240133147,0.0014663362693130278,0.016036391774496214
0.09720016695673867,0.08041662236221087,0.0014672852622794619,0.015316259332248339
0.09720353243105467,0.08102627115379026,0.0014686695435345122,0.014708591733729903
0.09722383934194148,0.081630657119205,0.0014687684360577004,0.01412441378667878
0.09716600963894714,0.08222734563518638,0.0014675691946164674,0.013471094809144296
0.09698073945324459,0.0828062647324754,0.0014649323236197336,0.012709542397149456
0.0967108706908404,0.08334998167462136,0.001460510924336227,0.01190037809188281
0.09644669069148057,0.0838395113852624,0.0014548853542131108,0.011152293952005066
0.096255656089722,0.08425814439726963,0.0014484525955163535,0.010549059096936028
